"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_DIRECT","WICH complex","0.21%","2","895","2","20808","8.41e-2","4.27e-1","23.25","1.00e+0","3.73e-1","1.85e-3"
"GOTERM_CC_DIRECT","integrin alpha3-beta1 complex","0.21%","2","895","2","20808","8.41e-2","4.27e-1","23.25","1.00e+0","3.73e-1","1.85e-3"
"GOTERM_CC_DIRECT","ACF complex","0.21%","2","895","2","20808","8.41e-2","4.27e-1","23.25","1.00e+0","3.73e-1","1.85e-3"
"GOTERM_CC_DIRECT","caveolar macromolecular signaling complex","0.21%","2","895","2","20808","8.41e-2","4.27e-1","23.25","1.00e+0","3.73e-1","1.85e-3"
"GOTERM_CC_DIRECT","integrin alpha6-beta1 complex","0.21%","2","895","2","20808","8.41e-2","4.27e-1","23.25","1.00e+0","3.73e-1","1.85e-3"
"GOTERM_CC_DIRECT","laminin-2 complex","0.21%","2","895","2","20808","8.41e-2","4.27e-1","23.25","1.00e+0","3.73e-1","1.85e-3"
"GOTERM_CC_DIRECT","secretory granule membrane","0.96%","9","895","107","20808","8.97e-2","4.53e-1","1.96","1.00e+0","3.95e-1","4.11e-2"
"GOTERM_CC_DIRECT","AP-2 adaptor complex","0.32%","3","895","12","20808","9.15e-2","4.53e-1","5.81","1.00e+0","3.95e-1","1.30e-2"
"GOTERM_CC_DIRECT","synapse","5.67%","53","895","1001","20808","9.17e-2","4.53e-1","1.23","1.00e+0","3.95e-1","6.77e-2"
"GOTERM_CC_DIRECT","lysosomal membrane","2.67%","25","895","418","20808","9.28e-2","4.53e-1","1.39","1.00e+0","3.95e-1","6.16e-2"
"GOTERM_CC_DIRECT","early endosome membrane","1.60%","15","895","220","20808","9.31e-2","4.53e-1","1.59","1.00e+0","3.95e-1","5.34e-2"
"GOTERM_CC_DIRECT","basal plasma membrane","0.75%","7","895","73","20808","9.34e-2","4.53e-1","2.23","1.00e+0","3.95e-1","3.72e-2"
"GOTERM_CC_DIRECT","secretory granule","0.96%","9","895","108","20808","9.34e-2","4.53e-1","1.94","1.00e+0","3.95e-1","4.32e-2"
"GOTERM_CC_DIRECT","neuronal cell body","2.46%","23","895","378","20808","9.43e-2","4.54e-1","1.41","1.00e+0","3.96e-1","6.12e-2"

